;Inventory Information and Purchase Order Estimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Filter:(Supplier  = THE RETAIL SHOP) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Supplier,Item Lookup Code,Description,Reorder No.,On-Hand,Committed,On Order,Xfr In,Xfr Out,Reorder Pt.,Restock Lvl.,Qty to Order,Department,Category,Do Not Order?,Bin Location,MSRP,MPQ,Qty to Order (MPQ),Cost,Price,Price A,Price B,Price C,Lo Bound,Hi Bound,Sale Price,Sale Starts,Sale Ends,Last Sold,Inactive
Overall ,,,,11365,0,111,0,743,,,48643,,,,,,,,,,,,,,,,,,,
 THE RETAIL SHOP,,,,11365,0,111,0,743,,,48643,,,,,,,,,,,,,,,,,,,
Garden Supplies Co,005782352,Premium Rose Bush,A001,12,2,0,0,0,A001,10,8,Garden,Plants,0,G01,9.99,1,8,3.50,7.99,3.995,6.99,7.49,5.99,9.99,0.00,01/01/1900,01/01/1900,26/07/2026,0
Garden Supplies Co,005782353,Lavender Herb Plant,A002,18,3,0,0,0,A002,12,10,Garden,Plants,0,G02,5.99,1,10,1.80,3.99,1.995,3.49,3.79,2.99,5.99,0.00,01/01/1900,01/01/1900,25/07/2026,0
Garden Supplies Co,005782354,Bamboo Cane Pack 10pk,A003,25,5,0,0,0,A003,15,12,Garden,Supports,0,G03,4.99,1,12,1.25,2.99,1.495,2.49,2.79,1.99,4.99,0.00,01/01/1900,01/01/1900,24/07/2026,0
Garden Supplies Co,005782355,Seed Starter Tray,A004,30,4,0,0,0,A004,20,15,Garden,Propagation,0,G04,3.49,1,15,0.90,1.99,0.995,1.69,1.89,1.49,3.49,1.49,26/07/2026,31/07/2026,23/07/2026,0
Garden Supplies Co,005782356,Multi Purpose Compost 40L,A005,20,6,0,0,0,A005,12,10,Garden,Compost,0,G05,8.99,1,10,3.20,6.99,3.495,5.99,6.49,4.99,8.99,0.00,01/01/1900,01/01/1900,22/07/2026,0
Garden Supplies Co,005782357,Terracotta Plant Pot,A006,16,1,0,0,0,A006,8,6,Garden,Pots,0,G06,5.99,1,6,1.70,3.99,1.995,3.49,3.79,2.99,5.99,2.99,26/07/2026,05/08/2026,21/07/2026,0
Garden Supplies Co,005782358,Hanging Basket 14 Inch,A007,10,2,0,0,0,A007,6,5,Garden,Containers,0,G07,12.99,1,5,4.00,8.99,4.495,7.99,8.49,6.99,12.99,0.00,01/01/1900,01/01/1900,20/07/2026,0
Garden Supplies Co,005782359,Garden Protective Gloves,A008,40,8,0,0,0,A008,25,20,Garden,Accessories,0,G08,6.99,1,20,2.00,4.99,2.495,4.49,4.79,3.99,6.99,3.99,26/07/2026,02/08/2026,19/07/2026,0
Garden Supplies Co,005782360,Blue Watering Can,A009 BLU,6,1,0,0,0,A009,5,4,Garden,Watering,0,G09,17.99,1,4,5.50,12.99,6.495,10.99,11.99,9.99,17.99,10.99,26/07/2026,31/07/2026,18/07/2026,0
Garden Supplies Co,005782361,Green Watering Can,A009 GRN,8,1,0,0,0,A009,5,4,Garden,Watering,0,G10,17.99,1,4,5.50,12.99,6.495,10.99,11.99,9.99,17.99,0.00,01/01/1900,01/01/1900,18/07/2026,0
Garden Supplies Co,005782362,Red Watering Can,A009 RED,5,0,0,0,0,A009,5,4,Garden,Watering,0,G11,17.99,1,4,5.50,12.99,6.495,10.99,11.99,9.99,17.99,11.99,26/07/2026,31/07/2026,16/07/2026,0
Garden Supplies Co,005782363,Green Garden Wheelbarrow,A010 GRN,3,0,0,0,0,A010,3,2,Garden,Tools,0,G12,69.99,1,2,22.00,49.99,24.995,44.99,47.99,39.99,69.99,0.00,01/01/1900,01/01/1900,17/07/2026,0
Garden Supplies Co,005782364,Blue Garden Wheelbarrow,A010 BLU,2,0,0,0,0,A010,3,2,Garden,Tools,0,G13,69.99,1,2,22.00,49.99,24.995,44.99,47.99,39.99,69.99,44.99,26/07/2026,10/08/2026,15/07/2026,0
Garden Supplies Co,005782365,Black Garden Wheelbarrow,A010 BLK,4,1,0,0,0,A010,3,2,Garden,Tools,0,G14,69.99,1,2,22.00,49.99,24.995,44.99,47.99,39.99,69.99,0.00,01/01/1900,01/01/1900,14/07/2026,0
Garden Supplies Co,005782366,Organic Tomato Plant,B001,24,3,0,0,0,B001,15,12,Garden,Plants,0,H01,4.99,1,12,1.40,2.99,1.495,2.49,2.79,1.99,4.99,0.00,01/01/1900,01/01/1900,26/07/2026,0
Garden Supplies Co,005782367,Wooden Garden Trellis,B002,10,1,0,0,0,B002,5,4,Garden,Supports,0,H02,18.99,1,4,6.00,12.99,6.495,10.99,11.99,9.99,18.99,9.99,26/07/2026,03/08/2026,24/07/2026,0
Garden Supplies Co,005782368,Plant Feed 1 Litre,B003,35,6,0,0,0,B003,20,15,Garden,Fertiliser,0,H03,8.99,1,15,2.80,5.99,2.995,4.99,5.49,4.49,8.99,0.00,01/01/1900,01/01/1900,25/07/2026,0
Garden Supplies Co,005782369,Hand Trowel Stainless Steel,B004,18,2,0,0,0,B004,10,8,Garden,Tools,0,H04,9.99,1,8,3.20,6.99,3.495,5.99,6.49,5.49,9.99,5.99,26/07/2026,31/07/2026,23/07/2026,0
Garden Supplies Co,005782370,Garden Secateurs,B005,14,2,0,0,0,B005,8,6,Garden,Tools,0,H05,19.99,1,6,7.00,14.99,7.495,12.99,13.99,11.99,19.99,0.00,01/01/1900,01/01/1900,22/07/2026,0
Garden Supplies Co,005782361,Green Watering Hose 15m,C004,9,1,0,0,0,C004,5,4,Garden,Watering,0,J06,34.99,1,4,12.00,24.99,12.495,21.99,22.99,19.99,34.99,22.99,20/07/2026,30/07/2026,13/07/2026,0
Garden Supplies Co,005782362,Garden Bird Feeder,D001,13,2,0,0,0,D001,7,5,Garden,Wildlife,0,K01,15.99,1,5,5.00,9.99,4.995,8.49,8.99,7.99,15.99,0,,,12/07/2026,0
Garden Supplies Co,005782363,Wild Bird Seed 5kg,D002,20,4,0,0,0,D002,10,8,Garden,Wildlife,0,K02,12.99,1,8,4.00,8.99,4.495,7.49,7.99,6.99,12.99,7.99,21/07/2026,31/07/2026,11/07/2026,0
